year,co2_emissions,gdp,gas_price,ev
2001,1855.78,37133.62,1.46,20282
2002,1895.48,37997.76,1.386,36042
2003,1912.60,39490.27,1.603,47566
2004,1967.47,41724.63,1.895,84233
2005,1988.14,44123.41,2.314,205876
2006,2019.53,46302.00,2.618,251864
2007,2022.24,48050.22,2.843,351071
2008,1892.33,48570.05,3.299,315763
2009,1831.78,47194.94,2.406,290273
2010,1845.79,48650.64,2.835,274974
2011,1816.85,50065.97,3.576,286512
2012,1780.38,51784.42,3.68,487819
2013,1807.29,53291.13,3.575,592637
2014,1825.34,55123.85,3.437,571054
2015,1850.23,56762.73,2.52,498423
2016,1887.83,57866.74,2.25,506565
2017,1904.54,59914.78,2.528,558543
2018,1934.22,62805.25,2.813,669028
2019,1939.46,65094.80,2.691,719057
2020,1648.49,63027.68,2.258,762656
2021,1803.32,69287.54,3.1,1431875