state,emissions,year
Alabama,1300,2018
Alaska,500,2018
Arizona,12600,2018
Arkansas,600,2018
California,273500,2018
Colorado,12500,2018
Connecticut,5000,2018
Delaware,800,2018
District of Columbia,1100,2018
Florida,27400,2018
Georgia,15900,2018
Hawaii,6600,2018
Idaho,1100,2018
Illinois,13600,2018
Indiana,3400,2018
Iowa,1100,2018
Kansas,1700,2018
Kentucky,1200,2018
Louisiana,900,2018
Maine,800,2018
Maryland,8400,2018
Massachusetts,10300,2018
Michigan,4200,2018
Minnesota,4900,2018
Mississippi,300,2018
Missouri,3500,2018
Montana,5700,2018
Nebraska,900,2018
Nevada,5100,2018
New Hampshire,1200,2018
New Jersey,13400,2018
New Mexico,1300,2018
New York,15500,2018
North Carolina,7300,2018
North Dakota,100,2018
Ohio,6400,2018
Oklahoma,3700,2018
Oregon,13800,2018
Pennsylvania,8000,2018
Rhode Island,700,2018
South Carolina,2000,2018
South Dakota,200,2018
Tennessee,3900,2018
Texas,24500,2018
Utah,5600,2018
Vermont,1100,2018
Virginia,9900,2018
Washington,30200,2018
West Virginia,200,2018
Wisconsin,3700,2018
Wyoming,200,2018